path,role,key symbols,external calls,risks,flags
enterprise/quick_start.py,Enterprise Overlay,"create_tables, main","asyncio, datetime, os, pathlib, src, sys, traceback",none,none
enterprise/run_enterprise.py,Enterprise Overlay,"run_command, check_dependencies, setup_database, setup_frontend, start_services, main","asyncio, os, pathlib, subprocess, sys, time",subprocess-usage,none
enterprise/scripts/run_migrations.py,Enterprise Overlay,run_migrations,"os, pathlib, subprocess, sys",subprocess-usage,none
enterprise/scripts/run_real_cve_playbook.py,Enterprise Overlay,"_bootstrap_path, _format_confidence, _format_delta, main","__future__, asyncio, pathlib, src, sys, typing",none,none
enterprise/scripts/seed_demo_data.py,Enterprise Overlay,"create_demo_users, main","asyncio, datetime, os, pathlib, src, sys",none,none
enterprise/server.py,Enterprise Overlay,(module-level),"src, uvicorn",none,none
enterprise/src/api/v1/business_context.py,Enterprise Overlay,"get_jira_context, get_confluence_context, enrich_business_context, _assess_business_impact, _assess_data_sensitivity, _get_compliance_requirements, _assess_stakeholder_impact","fastapi, src, structlog, typing",none,none
enterprise/src/api/v1/business_context_enhanced.py,Enterprise Overlay,"upload_business_context, get_sample_context, get_supported_formats, validate_business_context","fastapi, src, structlog, typing",none,TODO
enterprise/src/api/v1/cicd.py,Enterprise Overlay,"CICDDecisionRequest, CICDDecisionResponse, SignatureVerificationRequest, make_cicd_decision, verify_signature, _extract_sarif_findings, _extract_sca_findings, _extract_dast_findings, _map_sarif_severity, _map_dast_severity, _extract_sarif_location, _get_recommended_actions, _get_blocking_issues, _get_compliance_status, _get_notification_requirements","base64, datetime, fastapi, json, pydantic, src, structlog, time, typing",none,none
enterprise/src/api/v1/decisions.py,Enterprise Overlay,"DecisionRequest, DecisionResponse, make_security_decision, get_decision_metrics, get_recent_decisions, get_ssdlc_stage_data, get_core_components_status, get_evidence_record","fastapi, json, pydantic, sqlalchemy, src, structlog, time, typing",none,none
enterprise/src/api/v1/docs.py,Enterprise Overlay,get_doc,"fastapi, pathlib, structlog",none,none
enterprise/src/api/v1/enhanced.py,Enterprise Overlay,"EnhancedAnalysisModel, EnhancedConsensus, EnhancedStandardResponse, EnhancedSignals, EnhancedDecisionRequest, enhanced_analysis_standard, enhanced_signals, CapabilitiesResponse, get_enhanced_capabilities, CompareLLMsRequest, compare_llm_analyses","fastapi, pydantic, src, structlog, typing",none,none
enterprise/src/api/v1/evidence.py,Enterprise Overlay,download_evidence_bundle,"__future__, fastapi, io, src, typing",none,none
enterprise/src/api/v1/feeds.py,Enterprise Overlay,"feeds_status, epss_refresh, kev_refresh, download_feed","fastapi, pathlib, src, structlog",none,none
enterprise/src/api/v1/marketplace.py,Enterprise Overlay,"_serialize_item, MarketplaceSearchRequest, ContentContributionRequest, RatingRequest, browse_marketplace, get_recommendations, contribute_content, update_content, rate_content, purchase_content, download_content, get_contributors, get_stage_compliance_content, get_marketplace_stats","fastapi, json, pydantic, src, structlog, typing",none,none
enterprise/src/api/v1/monitoring.py,Enterprise Overlay,"health_check, get_metrics","fastapi, src, structlog, time, typing",none,none
enterprise/src/api/v1/oss_tools.py,Enterprise Overlay,"ScanRequest, PolicyEvalRequest, get_oss_status, run_comprehensive_scan, run_trivy_scan, run_grype_scan, verify_sigstore_signature, evaluate_policy, list_policies, list_supported_tools","fastapi, pydantic, src, structlog, typing",none,none
enterprise/src/api/v1/policy.py,Enterprise Overlay,"_coerce_float, _normalize_datetime, GateRequest, GateResponse, WaiverCreate, WaiverResponse, _extract_service_name, _coerce_iterable, _extract_kev_cves, _extract_environment, _as_bool, _as_float, _normalize_severity, _collect_vulnerabilities, _build_sbom_payload, _evaluate_remote_policies, _map_opa_results, _get_active_waivers, _kev_block_response, evaluate_gate, create_waiver, list_waivers","__future__, datetime, fastapi, pydantic, sqlalchemy, src, structlog, typing",none,none
enterprise/src/api/v1/processing_layer.py,Enterprise Overlay,"ProcessingRequest, SSVCTestRequest, get_processing_layer_status, test_bayesian_prior_mapping, test_markov_transitions, test_ssvc_fusion, test_sarif_vulnerability_handling, test_full_processing_pipeline, get_missing_oss_status, test_missing_oss_tools","datetime, fastapi, json, pydantic, src, structlog, typing",none,none
enterprise/src/api/v1/production_readiness.py,Enterprise Overlay,"get_production_readiness, get_production_requirements","fastapi, src, structlog, typing",none,none
enterprise/src/api/v1/sample_data_demo.py,Enterprise Overlay,"get_sample_data, run_complete_demo, _demo_input_parsing, _demo_processing_layer, _demo_decision_layer, _demo_output_layer, _demo_cicd_integration","datetime, fastapi, json, pydantic, src, structlog, typing",none,none
enterprise/src/api/v1/scans.py,Enterprise Overlay,"upload_scan_file, init_chunked_upload, upload_chunk, complete_chunked_upload, _parse_ibom, _parse_csv","csv, datetime, fastapi, hashlib, io, json, os, pathlib, shutil, sqlalchemy, src, structlog, time, typing, uuid",file-io,none
enterprise/src/api/v1/system.py,Enterprise Overlay,system_status,"datetime, fastapi, src, structlog",none,none
enterprise/src/api/v1/system_mode.py,Enterprise Overlay,"ModeToggleRequest, ModeToggleResponse, get_current_mode, toggle_system_mode, get_production_requirements","fastapi, pydantic, src, structlog",none,none
enterprise/src/cli/main.py,Enterprise Overlay,"FixOpsCLI, create_parser, main","argparse, asyncio, datetime, json, os, pathlib, sqlalchemy, src, structlog, sys, time, typing",file-io,none
enterprise/src/config/settings.py,Enterprise Overlay,"Settings, get_settings","functools, os, pydantic, pydantic_settings, typing",none,none
enterprise/src/core/exceptions.py,Enterprise Overlay,"FixOpsException, AuthenticationError, AuthorizationError, ValidationError, NotFoundError, ConflictError, RateLimitError, ServiceUnavailableError, DatabaseError, CacheError, SecurityError, ComplianceError, log_exception_security_event, create_error_response, setup_exception_handlers, SecurityViolationDetector","asyncio, fastapi, sqlalchemy, src, starlette, structlog, traceback, typing","dynamic-execution, subprocess-usage",none
enterprise/src/core/middleware.py,Enterprise Overlay,"PerformanceMiddleware, SecurityHeadersMiddleware, RateLimitMiddleware, CompressionMiddleware, AuditLoggingMiddleware","asyncio, fastapi, gzip, orjson, src, starlette, structlog, time, typing",none,none
enterprise/src/core/security.py,Enterprise Overlay,"TenantPersona, SecurityManager, PasswordManager, MFAManager, JWTManager, RBACManager, get_current_user, require_permission, require_tenant_role","asyncio, base64, bcrypt, cryptography, dataclasses, datetime, enum, fastapi, hashlib, jwt, passlib, pyotp, secrets, sqlalchemy, src, structlog, time, typing",none,none
enterprise/src/db/migrations/__init__.py,Enterprise Overlay,(module-level),(internal),none,none
enterprise/src/db/migrations/env.py,Enterprise Overlay,"get_database_url, run_migrations_offline, do_run_migrations, run_async_migrations, run_migrations_online","alembic, asyncio, logging, os, sqlalchemy, src, sys",none,none
enterprise/src/db/migrations/versions/001_initial_schema.py,Enterprise Overlay,"upgrade, downgrade","alembic, sqlalchemy",none,none
enterprise/src/db/migrations/versions/002_add_kev_waivers.py,Enterprise Overlay,"upgrade, downgrade","alembic, sqlalchemy",none,none
enterprise/src/db/session.py,Enterprise Overlay,"DatabaseManager, get_db","asyncio, contextlib, sqlalchemy, src, structlog, typing",none,none
enterprise/src/main.py,Enterprise Overlay,"lifespan, warm_performance_caches, health_check, readiness_check, prometheus_metrics, performance_tracking","asyncio, contextlib, fastapi, logging, src, structlog, time, typing, uvicorn, uvloop",none,STUB
enterprise/src/models/__init__.py,Enterprise Overlay,(module-level),(internal),none,none
enterprise/src/models/base.py,Enterprise Overlay,"BaseModel, AuditMixin, SoftDeleteMixin, EncryptedFieldMixin","datetime, sqlalchemy, src, structlog, typing, uuid",none,none
enterprise/src/models/base_sqlite.py,Enterprise Overlay,"BaseModel, AuditMixin, SoftDeleteMixin, EncryptedFieldMixin","datetime, sqlalchemy, src, structlog, typing, uuid",none,none
enterprise/src/models/security.py,Enterprise Overlay,"SeverityLevel, ScannerType, FindingStatus, DataClassification, Environment, PolicyDecision, IncidentStatus, Service, SecurityFinding, FindingCorrelation, KevFindingWaiver, SecurityIncident, PolicyRule, PolicyDecisionLog, VulnerabilityIntelligence, ComplianceEvidence","datetime, enum, sqlalchemy, src, typing",none,none
enterprise/src/models/security_sqlite.py,Enterprise Overlay,"SeverityLevel, ScannerType, FindingStatus, DataClassification, Environment, PolicyDecision, IncidentStatus, Service, SecurityFinding, FindingCorrelation, SecurityIncident, PolicyRule, PolicyDecisionLog, VulnerabilityIntelligence, ComplianceEvidence, KevFindingWaiver","datetime, enum, json, sqlalchemy, src, typing",none,none
enterprise/src/models/user.py,Enterprise Overlay,"UserStatus, UserRole, User, UserSession, UserAuditLog","datetime, enum, sqlalchemy, src, typing",none,none
enterprise/src/models/user_sqlite.py,Enterprise Overlay,"UserStatus, UserRole, User, UserSession, UserAuditLog","datetime, enum, json, sqlalchemy, src, typing",none,none
enterprise/src/models/waivers.py,Enterprise Overlay,get_kev_waiver_model,"__future__, functools, src, typing",none,none
enterprise/src/schemas/user.py,Enterprise Overlay,"UserRole, UserStatus, LoginRequest, LoginResponse, RefreshTokenRequest, MFASetupResponse, UserBase, UserCreate, UserUpdate, UserResponse, UserListResponse, UserSession, ChangePasswordRequest, ResetPasswordRequest, ResetPasswordConfirm, UserAuditLogEntry, SecurityEventRequest, UserPreferences, ProfileUpdateRequest, RolePermission, RoleDefinition","datetime, enum, pydantic, typing",none,none
enterprise/src/services/advanced_llm_engine.py,Enterprise Overlay,"LLMProvider, LLMAnalysisResult, MultiLLMResult, AdvancedLLMEngine","asyncio, dataclasses, datetime, enum, json, src, structlog, time, typing",none,STUB
enterprise/src/services/business_context_processor.py,Enterprise Overlay,"SSVCBusinessContext, OTMContext, FixOpsContextProcessor","dataclasses, datetime, json, structlog, typing, yaml",none,none
enterprise/src/services/cache_service.py,Enterprise Overlay,"CacheService, get_cache, cache_result","asyncio, json, orjson, redis, src, structlog, time, typing",none,none
enterprise/src/services/chatgpt_client.py,Enterprise Overlay,"UserMessage, ChatGPTClient, ChatGPTChatSession, get_primary_llm_api_key","__future__, dataclasses, openai, src, structlog, typing",none,none
enterprise/src/services/compliance_engine.py,Enterprise Overlay,ComplianceEngine,"structlog, typing",none,none
enterprise/src/services/correlation_engine.py,Enterprise Overlay,"CorrelationResult, CorrelationEngine, correlate_finding_async, batch_correlate_async","asyncio, dataclasses, datetime, dotenv, hashlib, json, sqlalchemy, src, structlog, time, typing",none,none
enterprise/src/services/decision_engine.py,Enterprise Overlay,"DecisionOutcome, DecisionContext, DecisionResult, DecisionEngine, _get_service_type, _assess_business_impact","asyncio, dataclasses, datetime, enum, json, sqlalchemy, src, structlog, time, typing",none,none
enterprise/src/services/enhanced_decision_engine.py,Enterprise Overlay,EnhancedDecisionEngine,"asyncio, dataclasses, datetime, json, src, structlog, time, typing",none,none
enterprise/src/services/evidence_export.py,Enterprise Overlay,"_escape_pdf_text, _render_pdf_summary, EvidenceExportService","__future__, base64, datetime, io, json, src, structlog, typing, zipfile",none,none
enterprise/src/services/evidence_lake.py,Enterprise Overlay,EvidenceLake,"base64, datetime, hashlib, json, sqlalchemy, src, structlog, typing",none,none
enterprise/src/services/explainability.py,Enterprise Overlay,"_normalise_feature_name, ExplainabilityService","__future__, statistics, structlog, typing",none,none
enterprise/src/services/feeds_service.py,Enterprise Overlay,"_resolve_feeds_dir, FeedStatus, FeedsService","__future__, aiohttp, asyncio, dataclasses, datetime, json, os, pathlib, src, structlog, typing",none,none
enterprise/src/services/fix_engine.py,Enterprise Overlay,"FixRecommendation, FixEngine","dataclasses, structlog, typing",none,none
enterprise/src/services/golden_regression_store.py,Enterprise Overlay,"_log, RegressionCase, RegressionCaseResult, GoldenRegressionStore","__future__, dataclasses, json, logging, pathlib, src, structlog, threading, types, typing",none,none
enterprise/src/services/knowledge_graph.py,Enterprise Overlay,"NoPathError, SecurityEntity, SecurityRelation, CTINexusEntityExtractor, KnowledgeGraphBuilder","asyncio, collections, dataclasses, datetime, json, networkx, re, src, structlog, typing",none,none
enterprise/src/services/llm_explanation_engine.py,Enterprise Overlay,"ExplanationRequest, GeneratedExplanation, CybersecurityLLMEngine, LLMExplanationEngine","asyncio, dataclasses, datetime, hashlib, json, src, structlog, typing",none,none
enterprise/src/services/marketplace.py,Enterprise Overlay,"QAStatus, ContributorProfile, ContentType, PricingModel, MarketplaceItemModel, MarketplaceItem, MarketplaceService","__future__, dataclasses, datetime, enum, hashlib, hmac, json, pathlib, pydantic, src, structlog, typing, uuid",none,TODO
enterprise/src/services/metrics.py,Enterprise Overlay,FixOpsMetrics,"__future__, collections, prometheus_client, typing",none,STUB
enterprise/src/services/missing_oss_integrations.py,Enterprise Overlay,"_mean, SSVCFramework, SBOMParser, SARIFProcessor, PomegranateEngine, MissingOSSIntegrationService","asyncio, datetime, hashlib, json, lib4sbom, numpy, pomegranate, sarif, ssvc, structlog, typing",none,none
enterprise/src/services/oss_integrations.py,Enterprise Overlay,"TrivyScanner, OPAPolicyEngine, SigstoreVerifier, GrypeScanner, OSSIntegrationService, create_default_policies","asyncio, json, pathlib, structlog, subprocess, tempfile, typing, yaml","dynamic-execution, file-io, subprocess-usage",none
enterprise/src/services/policy_engine.py,Enterprise Overlay,"PolicyDecision, PolicyContext, PolicyEvaluationResult, PolicyEngine, evaluate_policy_async, batch_evaluate_policies_async","asyncio, dataclasses, datetime, dotenv, enum, json, sqlalchemy, src, structlog, time, typing",dynamic-execution,none
enterprise/src/services/processing_layer.py,Enterprise Overlay,"_mean, _variance, SSVCContext, MarkovState, SARIFVulnerability, BayesianPriorMapping, MarkovTransitionMatrixBuilder, SSVCProbabilisticFusion, SARIFVulnerabilityHandler, ProcessingLayer","asyncio, dataclasses, datetime, json, mchmm, numpy, pgmpy, pomegranate, src, structlog, typing",none,none
enterprise/src/services/real_opa_engine.py,Enterprise Overlay,"OPAEngine, DemoOPAEngine, ProductionOPAEngine, OPAEngineFactory, get_opa_engine, reset_opa_engine, evaluate_vulnerability_policy, evaluate_sbom_policy","aiohttp, asyncio, opa_python, src, structlog, time, typing",none,NOT_IMPLEMENTED
enterprise/src/services/risk_scorer.py,Enterprise Overlay,ContextualRiskScorer,typing,none,none
enterprise/src/services/rl_controller.py,Enterprise Overlay,"Experience, ReinforcementLearningController","__future__, dataclasses, src, structlog, typing",none,none
enterprise/src/services/sbom_parser.py,Enterprise Overlay,"parse_sbom, _extract_findings_from_cyclonedx","__future__, json, lib4sbom, structlog, typing",none,none
enterprise/src/services/vector_store.py,Enterprise Overlay,"VectorRecord, VectorStore, DemoVectorStore, ChromaDBVectorStore, VectorStoreFactory, get_vector_store","__future__, asyncio, chromadb, dataclasses, hashlib, sentence_transformers, src, structlog, typing, uuid",none,"NOT_IMPLEMENTED, STUB"
enterprise/src/services/vex_ingestion.py,Enterprise Overlay,"_resolve_vex_cache, _now, VEXAssertion, VEXIngestor","__future__, dataclasses, datetime, json, os, pathlib, structlog, typing",none,none
enterprise/src/utils/crypto.py,Enterprise Overlay,"KeyProvider, EnvKeyProvider, AWSKMSProvider, AzureKeyVaultProvider, get_key_provider, reset_key_provider_cache, _fingerprint_public_key, _decode_base64url, _coerce_bigint_bytes, _load_public_key_from_bundle, _extract_bundle_properties, _extract_signature, _coerce_datetime, rsa_sign, rsa_verify, evaluate_rotation_health, generate_secure_token, generate_secure_password, generate_api_key, hash_sensitive_data, verify_sensitive_data, generate_encryption_key, encrypt_data, decrypt_data, generate_checksum, verify_checksum, generate_hmac_signature, verify_hmac_signature, SecureTokenManager, secure_compare, generate_nonce, generate_salt","__future__, azure, base64, boto3, cryptography, dataclasses, datetime, hashlib, hmac, json, os, secrets, src, string, structlog, time, typing",none,NOT_IMPLEMENTED
enterprise/src/utils/logger.py,Enterprise Overlay,"setup_structured_logging, log_security_event, PerformanceLogger, ComplianceLogger","asyncio, datetime, json, src, structlog, time, typing",none,none
enterprise/structlog/__init__.py,Enterprise Overlay,"configure, get_logger","__future__, logging, typing",none,none
enterprise/structlog/processors.py,Enterprise Overlay,"TimeStamper, StackInfoRenderer, format_exc_info, UnicodeDecoder, JSONRenderer","__future__, datetime, json, typing",none,none
enterprise/structlog/stdlib.py,Enterprise Overlay,"filter_by_level, add_logger_name, add_log_level, PositionalArgumentsFormatter, LoggerFactory","__future__, logging, typing",none,none
prototypes/decider/__init__.py,Prototype,(module-level),(internal),none,none
prototypes/decider/api.py,Prototype,"DecisionRequest, FeedbackRequest, create_app","__future__, fastapi, pydantic, typing",none,none
prototypes/decider/processing/__init__.py,Prototype,(module-level),"bayesian, explanation, knowledge_graph, sarif",none,none
prototypes/decider/processing/bayesian.py,Prototype,"BayesianProcessorError, NodeSpecification, _require_backend, _normalise_node_specifications, _build_tabular_cpd, _build_network, _coerce_key, _distribution_for_states, _assignment_probability, _extract_evidence, update_probabilities, attach_component_posterior","__future__, dataclasses, itertools, pgmpy, typing",none,none
prototypes/decider/processing/explanation.py,Prototype,"ExplanationError, RateLimiter, ExplanationGenerator","__future__, collections, importlib, logging, textwrap, time, typing",none,none
prototypes/decider/processing/knowledge_graph.py,Prototype,"KnowledgeGraphError, _ExtractionResult, KnowledgeGraphProcessor","__future__, dataclasses, importlib, logging, typing",none,none
prototypes/decider/processing/sarif.py,Prototype,"SarifAnalysisError, _import_sarif_utils, SarifAnalyzer","__future__, importlib, json, logging, typing",none,none
scripts/generate_analysis.py,Tooling,"iter_python_files, ModuleSummary, load_module_map, infer_role, extract_symbols, collect_external_imports, detect_risks, detect_flags, summarise_files, write_file_summaries, write_data_control_flows, write_traceability_matrix, main","__future__, ast, csv, dataclasses, pathlib, typing","dynamic-execution, subprocess-usage","NOT_IMPLEMENTED, TODO"
scripts/generate_index.py,Tooling,"iter_python_files, count_sloc, detect_role, build_import_graph, write_tree, main","__future__, ast, collections, csv, json, os, pathlib, typing",none,none
scripts/run_real_cve_playbook.py,Tooling,"load_context, build_table, print_compliance_results, main","__future__, argparse, json, pathlib, rich, src, sys, typing",none,none
tests/__init__.py,Tests,(module-level),(internal),none,none
tests/conftest.py,Tests,(module-level),"__future__, pathlib, sys",none,none
tests/sample_modules.py,Tests,record_outcome,typing,none,none
tests/test_ai_agents.py,Tests,test_ai_agent_advisor_detects_frameworks,(internal),none,none
tests/test_analytics_store.py,Tests,test_analytics_store_persist_and_load,"json, pathlib",none,none
tests/test_backend_security.py,Tests,"_make_overlay, test_create_app_rejects_insecure_allowlisted_root","os, pathlib, pytest",none,none
tests/test_cicd_signature.py,Tests,"_BaseSettings, signing_provider, test_verify_signature_success, test_verify_signature_failure","__future__, asyncio, base64, cryptography, fastapi, json, pytest, src, sys, types, typing",none,none
tests/test_cli.py,Tests,"_write_json, test_cli_run_pipeline, test_cli_show_overlay, test_cli_train_forecast, test_cli_demo_command","json, os, pathlib, pytest",none,none
tests/test_crypto_signing.py,Tests,"_generate_rsa_keypair, signing_env, test_rsa_sign_round_trip, test_rsa_verify_rejects_tampered_payload, test_rsa_verify_handles_rotated_fingerprints","cryptography, json, pytest, src, typing",none,none
tests/test_cve_simulation.py,Tests,"_build_overlay, test_demo_mode_downgrades_severity, test_enterprise_mode_escalates_severity","__future__, json, os, pathlib, simulations",none,none
tests/test_demo_runner.py,Tests,"test_run_demo_pipeline_demo_mode, test_run_demo_pipeline_enterprise_mode",pathlib,none,none
tests/test_design_context_injector.py,Tests,"_code, test_calculate_priors_matches_ssvc_outcomes","csv, pathlib, re, ssvc",none,none
tests/test_end_to_end.py,Tests,"test_end_to_end_demo_pipeline, test_api_rejects_missing_token, test_feedback_endpoint_rejects_invalid_payload, test_large_compressed_uploads_stream_to_disk","base64, csv, fastapi, gzip, inspect, io, json, os, pathlib, shutil, tempfile, zipfile",none,none
tests/test_evidence.py,Tests,"_minimal_pipeline_result, test_evidence_hub_uses_allowlisted_root_and_sanitises_name, test_evidence_hub_falls_back_to_default_bundle_name, test_evidence_hub_compresses_when_limit_configured",pathlib,none,none
tests/test_evidence_export.py,Tests,test_evidence_export_creates_signed_bundle,"__future__, asyncio, io, json, pytest, src, typing, zipfile",none,none
tests/test_explainability_service.py,Tests,test_explainability_service_generates_contributions,"__future__, pytest, src",none,none
tests/test_exploit_signals.py,Tests,"test_exploit_signal_evaluator_matches_boolean_and_probability, test_exploit_signal_evaluator_returns_none_without_signals, test_exploit_feed_refresher_enriches_records","json, pathlib, pytest",none,none
tests/test_feature_matrix.py,Tests,test_feature_matrix_alignment,"pathlib, pytest",none,none
tests/test_feedback.py,Tests,"test_feedback_recorder_writes_entries, test_feedback_recorder_rejects_path_traversal, _StubJira, _StubConfluence, test_feedback_forwarding_records_connector_outcomes","json, pathlib, pytest",none,none
tests/test_feeds_enrichment.py,Tests,test_enrich_findings_populates_epss_and_kev,"__future__, importlib, json, pathlib, pytest, src, typing",none,none
tests/test_golden_regression.py,Tests,"reset_golden_regression_store, test_store_lookup_matches_service_and_cve, test_regression_validation_passes_with_historical_support, test_regression_validation_surfaces_failures, test_regression_validation_handles_missing_coverage","asyncio, pathlib, pytest, src, sys, types",none,none
tests/test_golden_regression_store.py,Tests,"FakeDecisionEngine, test_evaluate_with_mock_engine","__future__, asyncio, json, pathlib, pytest, src, sys, types",none,none
tests/test_http_metrics.py,Tests,"reset_metrics, _build_request, test_successful_hot_path_updates_latency_and_ratio, test_policy_errors_drive_error_ratio, test_evidence_requests_are_classified_correctly","__future__, asyncio, fastapi, pydantic, pytest, src, starlette, sys, types, typing",none,none
tests/test_key_management.py,Tests,"_encode_b64url, StubKMSClient, StubAzureKeyClient, StubAzureCryptoClient, test_aws_kms_provider_signs_and_rotates, test_azure_key_vault_provider_signs_and_rotates, test_rotation_health_flags_breach","base64, cryptography, datetime, src, types",none,none
tests/test_new_backend_api.py,Tests,"client, test_make_decision_success, test_make_decision_validation_error, test_submit_feedback_success, test_submit_feedback_mismatch, test_healthcheck","fastapi, new_backend, pytest",none,none
tests/test_new_backend_processing.py,Tests,"clear_processing_modules, test_knowledge_graph_processor_invokes_ctinexus, test_explanation_generator_uses_sentinel_gpt, test_sarif_analyzer_clusters_and_scores, test_bayesian_network_inference_produces_posteriors","__future__, importlib, pytest, sys, types",none,none
tests/test_new_modules.py,Tests,"_overlay_stub, test_roi_dashboard_calculates_value, test_tenant_lifecycle_summary, test_performance_simulation_estimates_latency",types,none,none
tests/test_normalizers.py,Tests,"_reset_converter, _build_sarif_document, test_load_sarif_uses_embedded_payload_when_converter_missing, test_load_sarif_logs_actionable_error_without_converter","json, logging, pytest",none,none
